gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
TRERF1	ENST00000372922	535	7.0331e+02	7.6069e-01	4.2597e-05	7810	58	9.0670e+01	6.3969e-01	1002	305	3.0538e+02	9.9875e-01	2.0795e-05	2401	2	2.9226e-06	564	5.5238e+01	1.0000e+00	1.3832e-20	5.1539e-08	3.6207e-02	9.0900e-01	1.0980e+00	7.0800e-01	8.1700e-01	1.4000e-02	1.1400e-01		1.7230e-02	2.2553e+00	6.6378e+00	285	0	0	5	3.6153e-05	2.0219e-05	125739	9	0	125748	3.5786e-05	1.6104e-04	6.1584e-05	0.0000e+00	0.0000e+00	5.4371e-05	0.0000e+00	6.2058e-05	0.0000e+00	0.0000e+00	6.1518e-05	0.0000e+00	0.0000e+00	5.4367e-05	0.0000e+00	6.1530e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000124496	2	3600	14	protein_coding	227121	9.9960e-01	3	3.5391e+01	8.4767e-02	NA	6	42192669	42419789
REV3L	ENST00000358835	1315	1.5921e+03	8.2596e-01	8.0789e-05	20622	329	5.6628e+02	5.8099e-01	7303	544	5.6074e+02	9.7014e-01	2.7776e-05	5956	9	7.6511e-06	1720	1.3452e+02	1.0000e+00	1.3431e-44	7.0488e-16	6.6905e-02	9.0300e-01	1.0410e+00	7.8800e-01	8.6400e-01	3.9000e-02	1.1700e-01		5.5574e-01	2.4677e+00	1.0029e+01	300	0	0	19	9.2059e-05	1.3841e-05	125715	22	0	125737	8.7488e-05	9.6241e-04	1.2389e-04	2.8937e-05	0.0000e+00	1.0878e-04	1.4259e-04	1.0984e-04	1.7501e-04	3.3293e-05	1.2304e-04	2.8909e-05	0.0000e+00	1.0874e-04	1.3859e-04	1.0549e-04	1.6309e-04	3.2663e-05	protein_coding	ENSG00000009413	2	9390	32	protein_coding	184685	1.0000e+00	2	9.1153e+01	2.1941e-02	NA	6	111620234	111804918
SOBP	ENST00000317357	365	4.8411e+02	7.5396e-01	3.0741e-05	5616	145	2.3322e+02	6.2173e-01	2577	215	2.2681e+02	9.4793e-01	1.7599e-05	1833	0	1.3007e-06	284	2.3411e+01	9.9972e-01	4.2847e-10	2.8137e-04	0.0000e+00	8.4700e-01	1.0610e+00	6.9100e-01	8.2200e-01	0.0000e+00	1.2700e-01		6.1648e-01	1.9237e+00	4.4836e+00	380	0	0	2	2.0077e-05	1.6061e-05	124692	5	0	124697	2.0049e-05	5.0122e-05	0.0000e+00	2.8967e-05	0.0000e+00	5.5673e-05	0.0000e+00	2.6594e-05	0.0000e+00	0.0000e+00	0.0000e+00	2.8964e-05	0.0000e+00	5.5637e-05	0.0000e+00	2.6521e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000112320	2	2619	6	protein_coding	170196	NA	NA	NA	NA	NA	6	107811162	107981357
EPHA7	ENST00000369303	385	5.4116e+02	7.1144e-01	2.6782e-05	6560	134	2.2184e+02	6.0405e-01	2739	193	1.8634e+02	1.0357e+00	9.4604e-06	1879	2	2.4881e-06	599	4.9270e+01	1.0000e+00	3.1773e-18	4.8027e-07	4.0592e-02	9.2000e-01	1.1670e+00	6.5400e-01	7.7400e-01	1.6000e-02	1.2800e-01		-3.8350e-01	2.3854e+00	6.2404e+00	384	0	0	6	2.8002e-05	7.9573e-06	125738	7	0	125745	2.7834e-05	9.7422e-05	0.0000e+00	1.1753e-04	1.9849e-04	0.0000e+00	0.0000e+00	8.8006e-06	0.0000e+00	0.0000e+00	0.0000e+00	1.1564e-04	1.9843e-04	0.0000e+00	0.0000e+00	8.7902e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000135333	2	2994	17	protein_coding	179528	9.8776e-01	5	3.5059e+01	1.4262e-01	NA	6	93949738	94129265
CDC5L	ENST00000371477	268	4.3042e+02	6.2265e-01	2.2660e-05	5267	32	1.2688e+02	2.5221e-01	1543	158	1.4676e+02	1.0766e+00	7.5245e-06	1487	2	3.0174e-06	548	4.8824e+01	1.0000e+00	4.7724e-18	5.6757e-07	4.0964e-02	9.4500e-01	1.2290e+00	5.6300e-01	6.8900e-01	1.6000e-02	1.2900e-01		-7.2940e-01	2.7820e+00	6.2097e+00	401	0	0	3	2.3979e-05	1.5943e-05	125697	6	0	125703	2.3866e-05	7.1599e-05	0.0000e+00	1.1608e-04	0.0000e+00	0.0000e+00	4.6356e-05	8.8657e-06	0.0000e+00	0.0000e+00	0.0000e+00	1.1573e-04	0.0000e+00	0.0000e+00	4.6212e-05	8.7934e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000096401	2	2406	16	protein_coding	62902	9.9999e-01	1	3.7252e+01	2.6844e-02	NA	6	44355262	44418163
WTAP	ENST00000358372	121	2.1453e+02	5.6403e-01	1.1431e-05	2612	24	4.9169e+01	4.8811e-01	681	88	8.1336e+01	1.0819e+00	4.6245e-06	733	0	1.2606e-06	236	2.2942e+01	9.9966e-01	6.5656e-10	3.3524e-04	0.0000e+00	9.1000e-01	1.2920e+00	4.8600e-01	6.5600e-01	0.0000e+00	1.3000e-01		-5.8084e-01	2.2692e+00	4.4385e+00	403	0	0	5	3.2825e-05	1.2457e-05	125740	8	0	125748	3.1810e-05	1.2724e-04	0.0000e+00	6.6414e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.3404e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.7819e-05	0.0000e+00	0.0000e+00	0.0000e+00	5.2739e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000146457	2	1188	7	protein_coding	30735	9.9558e-01	0	1.5755e+01	0.0000e+00	NA	6	160146617	160177351
RANBP9	ENST00000011619	258	3.3458e+02	7.7111e-01	1.6546e-05	4683	103	1.6901e+02	6.0941e-01	1989	144	1.2119e+02	1.1882e+00	6.3877e-06	1451	1	2.0937e-06	430	3.6537e+01	9.9999e-01	3.0841e-14	1.0801e-05	2.7369e-02	1.0370e+00	1.3640e+00	6.9600e-01	8.5500e-01	9.0000e-03	1.3000e-01		-1.6287e+00	1.4878e+00	5.4480e+00	409	0	0	1	4.2074e-06	4.2074e-06	118838	1	0	118839	4.2074e-06	2.1037e-06	0.0000e+00	0.0000e+00	0.0000e+00	5.6580e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.6582e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000010017	2	2187	14	protein_coding	90067	9.9996e-01	0	2.8250e+01	0.0000e+00	NA	6	13621730	13711796
TULP4	ENST00000367097	844	9.6344e+02	8.7603e-01	6.1854e-05	9987	324	4.6683e+02	6.9404e-01	4813	518	4.2067e+02	1.2314e+00	2.9480e-05	3233	3	2.9120e-06	644	5.8483e+01	1.0000e+00	8.0852e-21	7.9666e-08	5.1297e-02	1.1450e+00	1.3240e+00	8.2700e-01	9.2700e-01	2.2000e-02	1.3300e-01		-3.7302e+00	1.3674e+00	6.7230e+00	427	0	0	3	1.1943e-05	3.9838e-06	125745	3	0	125748	1.1929e-05	1.7893e-05	0.0000e+00	0.0000e+00	9.9226e-05	0.0000e+00	0.0000e+00	1.7610e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.9211e-05	0.0000e+00	0.0000e+00	1.7579e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000130338	2	4629	14	protein_coding	199169	9.9994e-01	2	3.5944e+01	5.5642e-02	NA	6	158733692	158932860
BAI3	ENST00000370598	673	8.2010e+02	8.2063e-01	4.1931e-05	9995	276	3.6753e+02	7.5096e-01	4398	323	2.9919e+02	1.0796e+00	1.6589e-05	2823	6	4.5763e-06	1015	8.5783e+01	1.0000e+00	1.8138e-28	4.1272e-10	6.9944e-02	9.8500e-01	1.1840e+00	7.6900e-01	8.7500e-01	3.7000e-02	1.3800e-01		-1.0821e+00	1.8253e+00	7.9823e+00	469	0	0	13	5.2192e-05	4.2010e-06	125736	12	0	125748	4.7716e-05	2.8630e-04	1.2489e-04	3.1890e-05	1.0079e-04	0.0000e+00	9.2468e-05	3.5400e-05	3.2895e-04	3.2690e-05	1.2304e-04	2.8909e-05	9.9211e-05	0.0000e+00	9.2392e-05	3.5159e-05	1.6288e-04	3.2663e-05	protein_coding	ENSG00000135298	2	4566	30	protein_coding	754145	1.0000e+00	3	6.0500e+01	4.9587e-02	NA	6	69345259	70099403
ZNF292	ENST00000369577	1203	1.3485e+03	8.9213e-01	6.6717e-05	17948	202	4.3373e+02	4.6572e-01	5788	553	4.9261e+02	1.1226e+00	2.4731e-05	5096	7	5.1585e-06	1306	9.3754e+01	1.0000e+00	1.4312e-30	1.0895e-10	7.4664e-02	1.0460e+00	1.2040e+00	8.5000e-01	9.3600e-01	4.1000e-02	1.4000e-01		-2.1387e+00	1.4077e+00	8.3026e+00	490	0	0	15	1.2117e-04	3.6271e-05	124585	27	0	124612	1.0834e-04	1.4627e-03	1.9448e-04	0.0000e+00	9.9502e-05	0.0000e+00	3.7229e-04	1.2496e-04	1.6562e-04	9.9354e-05	1.9374e-04	0.0000e+00	9.9389e-05	0.0000e+00	3.7133e-04	9.7364e-05	1.6530e-04	9.8038e-05	protein_coding	ENSG00000188994	2	8169	8	protein_coding	111364	9.9998e-01	5	5.1873e+01	9.6389e-02	NA	6	87862551	87973914
CCNC	ENST00000520429	63	1.3717e+02	4.5929e-01	6.1752e-06	1870	19	4.7837e+01	3.9718e-01	641	42	4.5449e+01	9.2412e-01	2.1917e-06	467	0	8.6162e-07	278	2.0411e+01	9.9914e-01	6.5842e-09	8.6350e-04	0.0000e+00	7.2100e-01	1.1950e+00	3.7400e-01	5.6600e-01	0.0000e+00	1.4600e-01		4.0212e-01	2.2504e+00	4.1865e+00	534	0	0	1	3.9925e-06	3.9925e-06	125235	1	0	125236	3.9925e-06	1.9962e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2925e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.2926e-05	protein_coding	ENSG00000112237	2	849	12	protein_coding	26594	9.9010e-01	0	1.3588e+01	0.0000e+00	NA	6	99990256	100016849
KLHDC3	ENST00000326974	93	2.4472e+02	3.8002e-01	1.5998e-05	2510	18	1.1012e+02	1.6346e-01	1057	83	9.0721e+01	9.1490e-01	5.4898e-06	751	0	1.0176e-06	225	2.0229e+01	9.9908e-01	7.7701e-09	9.2422e-04	0.0000e+00	7.6500e-01	1.0980e+00	3.2000e-01	4.5200e-01	0.0000e+00	1.4800e-01		6.3719e-01	3.4465e+00	4.1678e+00	552	0	0	2	7.9532e-06	3.9767e-06	125746	2	0	125748	7.9524e-06	7.9525e-06	0.0000e+00	0.0000e+00	9.9206e-05	0.0000e+00	0.0000e+00	8.7912e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.9211e-05	0.0000e+00	0.0000e+00	8.7897e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000124702	2	1146	10	protein_coding	7086	9.9383e-01	0	1.4860e+01	0.0000e+00	NA	6	42981951	42989036
GCM1	ENST00000259803	181	2.4413e+02	7.4140e-01	1.3784e-05	2887	21	7.6399e+01	2.7487e-01	851	88	9.3544e+01	9.4073e-01	5.7719e-06	808	0	1.0422e-06	224	2.0012e+01	9.9900e-01	9.4637e-09	1.0021e-03	0.0000e+00	7.9100e-01	1.1230e+00	6.5600e-01	8.3900e-01	0.0000e+00	1.4900e-01		4.5059e-01	1.4359e+00	4.1454e+00	559	0	0	1	3.9794e-06	3.9794e-06	125647	1	0	125648	3.9794e-06	1.9897e-06	0.0000e+00	0.0000e+00	0.0000e+00	5.4395e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.4397e-05	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000137270	2	1308	5	protein_coding	21866	9.8833e-01	0	1.3143e+01	0.0000e+00	NA	6	52991762	53013627
PPP1R10	ENST00000376511	377	5.7601e+02	6.5450e-01	3.3956e-05	6028	51	1.1703e+02	4.3577e-01	1494	202	2.0691e+02	9.7626e-01	1.2073e-05	1990	3	3.6527e-06	492	5.0428e+01	1.0000e+00	1.2435e-17	1.6205e-06	5.9491e-02	8.7000e-01	1.0970e+00	6.0100e-01	7.1300e-01	2.6000e-02	1.5400e-01		2.6848e-01	2.9467e+00	6.1890e+00	594	0	0	4	1.6030e-05	4.0460e-06	125743	4	0	125747	1.5905e-05	3.1810e-05	6.4733e-05	0.0000e+00	1.0020e-04	0.0000e+00	0.0000e+00	1.7592e-05	0.0000e+00	0.0000e+00	6.1518e-05	0.0000e+00	9.9211e-05	0.0000e+00	0.0000e+00	1.7580e-05	0.0000e+00	0.0000e+00	protein_coding	ENSG00000204569	2	2820	18	protein_coding	18213	1.0000e+00	0	4.2116e+01	0.0000e+00	NA	6	30568177	30586389
RREB1	ENST00000379938	1135	1.0953e+03	1.0363e+00	7.2994e-05	11244	313	4.0874e+02	7.6577e-01	4263	663	4.9967e+02	1.3269e+00	3.9058e-05	3552	3	2.5078e-06	607	4.9623e+01	1.0000e+00	2.5899e-17	2.1900e-06	6.0456e-02	1.2440e+00	1.4150e+00	9.8600e-01	1.0880e+00	2.7000e-02	1.5600e-01	syn_outlier	-5.7439e+00	-4.2654e-01	6.1331e+00	614	0	0	7	3.6497e-05	1.1954e-05	125740	7	1	125748	3.1810e-05	1.2724e-04	1.2921e-04	1.1668e-04	0.0000e+00	0.0000e+00	0.0000e+00	1.7594e-05	1.6367e-04	0.0000e+00	1.2304e-04	8.6729e-05	0.0000e+00	0.0000e+00	0.0000e+00	1.7579e-05	1.6288e-04	0.0000e+00	protein_coding	ENSG00000124782	2	5226	10	protein_coding	144384	9.9997e-01	0	2.8939e+01	0.0000e+00	NA	6	7107830	7252213
NR2E1	ENST00000368986	111	2.1920e+02	5.0638e-01	1.2231e-05	2483	15	5.7537e+01	2.6070e-01	712	76	8.8905e+01	8.5484e-01	5.0918e-06	768	0	9.5408e-07	229	1.9194e+01	9.9864e-01	1.9932e-08	1.3603e-03	0.0000e+00	7.0900e-01	1.0350e+00	4.3300e-01	5.9300e-01	0.0000e+00	1.5600e-01		1.0759e+00	2.5971e+00	4.0598e+00	617	0	0	3	1.2298e-05	4.3441e-06	125745	3	0	125748	1.1929e-05	1.7893e-05	0.0000e+00	2.8908e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7918e-06	1.7630e-04	0.0000e+00	0.0000e+00	2.8909e-05	0.0000e+00	0.0000e+00	0.0000e+00	8.7897e-06	1.6288e-04	0.0000e+00	protein_coding	ENSG00000112333	2	1155	9	protein_coding	22752	9.9051e-01	0	1.3700e+01	0.0000e+00	NA	6	108487262	108510013
ZBTB2	ENST00000325144	171	2.9947e+02	5.7100e-01	1.7987e-05	3396	53	1.5550e+02	3.4084e-01	1816	131	1.2458e+02	1.0516e+00	8.1716e-06	1014	0	1.1125e-06	194	1.8439e+01	9.9820e-01	3.9659e-08	1.8037e-03	0.0000e+00	9.1200e-01	1.2160e+00	5.0300e-01	6.4800e-01	0.0000e+00	1.6200e-01		-4.5239e-01	2.6382e+00	3.9791e+00	677	0	0	2	7.9541e-06	3.9774e-06	125738	2	0	125740	7.9530e-06	7.9530e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6194e-05	8.7915e-06	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6195e-05	8.7908e-06	0.0000e+00	0.0000e+00	protein_coding	ENSG00000181472	2	1542	2	protein_coding	27432	9.7983e-01	0	1.1658e+01	0.0000e+00	NA	6	151685252	151712683
